ship,workshop_id,path,rule,why,large,blocks,buried_share,clumping,heat_depth_mean,w_per_m2,local_w_per_m2_max,heat_spread_m,exposed_area_m2,exposure_m2_per_kw,capacity_j_per_k_per_w,installed_power_w,waste_full_w,thrust_n,idle_peak_k,load_peak_k,burn_peak_k,scenarios_critical,load_seconds_to_critical,substeps_demanded,top_source
Borg Cube,839892667,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/839892667/bp.sbc,airy-large,"most radiating surface per kilowatt, large grid — should stay cold",1,29337,0.091,1.069,0.01,0.39,9.7,29.5,433918.8,2590.337,2032.393,600000000,167514,207360000,223.4,223.4,977.5,0,-1.0,7.31,LargeBlockGyro
Helicarrier,568640862,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/568640862/bp.sbc,airy-large,"most radiating surface per kilowatt, large grid — should stay cold",1,21224,0.104,0.989,0.03,0.58,35.0,36.7,268366.9,1723.887,480.518,1800000000,155675,614880000,186.3,195.7,979.8,1,-1.0,7.28,LargeBlockGyro
A.T.S.O. Large Turret ,1717643680,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1717643680/bp.sbc,airy-small,"most radiating surface per kilowatt, small grid — should stay cold",0,6633,0.069,0.608,1.35,7.48,1396.3,0.7,36374.0,133.769,39.271,181000000,271915,0,193.9,267.3,221.8,0,-1.0,9.66,OxygenGenerator
SAVTec MRV-01a,1397641385,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1397641385/bp.sbc,airy-small,"most radiating surface per kilowatt, small grid — should stay cold",0,1683,0.008,1.918,0.02,8.32,382.0,1.7,25547.9,120.157,36.488,15000000,212621,2764800,187.7,334.7,636.7,0,-1.0,5.79,OxygenGenerator
M-45 Polaris Starcruiser,840166134,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/840166134/bp.sbc,boundary,critical in exactly one scenario — a moved dial flips this hull,1,23140,0.529,0.969,4.87,386.71,3072803.0,52.2,156335.1,2.586,1.125,1800640000,60457200,128620800,230.8,6037.2,745.0,1,12.0,11.09,LargeJumpDrive
Embrange {No mod} ,939826211,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/939826211/bp.sbc,boundary,critical in exactly one scenario — a moved dial flips this hull,1,20914,0.476,1.214,1.58,474.0,1032000.0,78.3,185462.5,2.11,0.885,2400000000,87910490,55987200,220.5,4350.2,952.9,1,12.5,12.53,LargeJumpDrive
W40k Space Marine Battle Barge,684853683,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/684853683/bp.sbc,boundary,critical in exactly one scenario — a moved dial flips this hull,1,14839,0.594,0.95,2.92,458.43,3072480.0,33.0,89168.8,2.181,1.884,1800000000,40878000,273830400,265.4,3046.8,1009.8,1,14.2,8.83,LargeJumpDrive
USS Falcon [Star Trek],3696913016,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3696913016/bp.sbc,boundary,critical in exactly one scenario — a moved dial flips this hull,0,12688,0.407,1.079,1.12,848.7,9600322.0,4.2,4101.5,1.178,0.466,0,3480944,0,375.6,2613.7,749.1,1,10.2,7.17,SmallPrototechJumpDrive
Event Horizon,2853444270,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2853444270/bp.sbc,broad-face,most exposed area outright — the sun dial acts hardest here,1,27978,0.036,1.092,0.0,15.01,1454.5,139.4,461182.5,66.626,13.466,6000000000,6921958,801360000,249.7,620.3,1628.1,1,-1.0,7.29,OxygenGenerator
Recharging Space Station - Akashinga,1778519276,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1778519276/bp.sbc,broad-face,most exposed area outright — the sun dial acts hardest here,1,26885,0.091,1.731,1.15,19.94,8002.0,57.9,442540.1,50.158,9.261,619520000,8822874,533030400,216.9,790.0,1197.4,0,-1.0,9.45,OxygenGenerator
