ship,workshop_id,path,large,size_band,typicality,blocks,rooms,thruster_n,producer_n,store_n,waste_full_w,w_per_block,buried_share,exposure_m2_per_kw,capacity_j_per_k_per_w,load_peak_k,burn_peak_k
Base Crawler,568867630,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/568867630/bp.sbc,1,1,0.1488,861,10,17,7,7,2846768.0,3306.4,0.182,5.241,0.815,661.343,1127.968
Plattform 9611,355583199,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/355583199/bp.sbc,1,1,0.154,901,16,48,22,0,1272378.0,1412.2,0.122,5.172,0.755,571.331,1017.659
HHI Rescue Ship,474317361,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/474317361/bp.sbc,1,1,0.1626,254,4,14,2,1,741335.9,2918.6,0.161,5.446,0.613,630.017,830.445
Carp MK2 - Interplanetary Cargo Shuttle,3723301658,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3723301658/bp.sbc,1,1,0.1632,461,7,33,1,9,1650030.0,3579.2,0.121,5.384,0.395,1283.557,2327.794
LIM Vyne Mk3 Neburunner,3537181437,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3537181437/bp.sbc,1,1,0.1713,593,17,26,2,6,1583670.0,2670.6,0.143,5.581,0.44,870.396,1797.087
T.N.F. Privateer Vessel 'Prospero' Mk.I,876607724,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/876607724/bp.sbc,1,2,0.1042,2251,28,133,15,9,6176744.0,2744.0,0.223,4.525,0.649,1189.359,1293.409
T.N.F. Corvette Class 'Serration' Mk.I,2774596244,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2774596244/bp.sbc,1,2,0.117,2178,49,64,14,7,6100639.0,2801.0,0.142,4.8,0.452,1141.068,1121.772
Speedy Interplanetary Multipurpose Frega 10w ,1949912371,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1949912371/bp.sbc,1,2,0.122,2723,18,88,9,16,7981191.0,2931.0,0.133,3.462,0.516,1763.53,1703.504
SI - Elysium Class Cruiser,2928202935,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2928202935/bp.sbc,1,2,0.1283,1720,12,49,6,6,5269916.0,3063.9,0.159,3.932,0.444,1148.706,1368.672
OPC Lancer,3338792983,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3338792983/bp.sbc,1,2,0.1291,1761,34,54,12,30,5409566.0,3071.9,0.21,3.801,0.511,1188.301,1089.301
T.N.F. Drone Carrier Class 'Vengeance' Mk.I,1941308389,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1941308389/bp.sbc,1,3,0.045,3971,52,170,11,12,6021854.0,1516.5,0.197,3.487,0.632,2410.698,1323.288
Canoe,1906202577,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1906202577/bp.sbc,1,3,0.0457,3113,8,29,7,2,5168043.0,1660.1,0.197,3.929,0.588,1387.925,1240.634
[HS] Direwolf Frigate [HKFRG],1575573439,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1575573439/bp.sbc,1,3,0.1047,3831,38,75,49,6,10694760.0,2791.6,0.181,3.343,0.52,1349.195,1931.792
RSC Eridanus Class Frigate,2023962981,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2023962981/bp.sbc,1,3,0.1063,5160,45,163,1,54,10441290.0,2023.5,0.221,4.683,0.667,1525.241,1211.038
Stellar Horizon 2_0,3607699942,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3607699942/bp.sbc,1,3,0.1076,4049,27,182,17,12,9445839.0,2332.9,0.162,4.503,0.447,1025.125,2832.234
Gargoyle Transport,2495170912,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2495170912/bp.sbc,1,4,0.0617,12836,38,81,10,9,23473600.0,1828.7,0.172,3.521,0.507,1646.96,1275.279
(Colonial) Atlas-Class Carrier,1687499180,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1687499180/bp.sbc,1,4,0.0657,28285,183,280,20,0,69072340.0,2442.0,0.206,3.83,0.606,23807.92,3253.044
Keldabe-Class Cruiser Kronos,1812681150,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1812681150/bp.sbc,1,4,0.0782,11737,83,258,26,14,30034460.0,2559.0,0.157,3.544,0.521,2053.888,1795.825
AZTEK - Type-7 Heavy Transporter,1978003281,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1978003281/bp.sbc,1,4,0.0796,9739,51,149,6,0,11151210.0,1145.0,0.172,4.334,0.629,1141.2,1768.075
[Stonehenge] Battle ship,905994819,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/905994819/bp.sbc,1,4,0.0869,12061,55,116,14,212,31775550.0,2634.6,0.206,3.784,0.699,1382.768,1385.338
Overkill,884534722,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/884534722/bp.sbc,0,1,0.1946,502,5,4,2,1,279282.4,556.3,0.114,2.28,0.379,755.676,597.756
Day 13 - North Star (NO DLC),2901432202,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2901432202/bp.sbc,0,1,0.2242,534,4,16,0,2,200242.0,375.0,0.129,2.131,0.38,647.412,784.011
SG Fighter Int [Tauro] 1.1 No script,2015276293,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2015276293/bp.sbc,0,1,0.2287,571,6,26,2,3,204719.3,358.5,0.098,2.618,0.492,673.922,1085.908
[TauroG] Int Fighter 1.3,1877784079,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1877784079/bp.sbc,0,1,0.2366,601,8,26,2,3,204574.7,340.4,0.1,2.511,0.504,681.06,1099.028
Speedin' Demon,1179958130,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1179958130/bp.sbc,0,1,0.2379,529,2,13,14,0,202627.8,383.0,0.093,2.485,0.359,590.311,1236.498
Mercury 66Kl,2090232342,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2090232342/bp.sbc,0,2,0.2166,1313,20,159,44,4,510062.6,388.5,0.165,2.317,0.646,619.318,1328.264
Gorilla Walker Speeder,938311401,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/938311401/bp.sbc,0,2,0.2237,1523,18,79,25,0,579111.1,380.2,0.11,2.135,0.39,862.783,1441.661
Pod Rats ,850596934,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/850596934/bp.sbc,0,2,0.2387,1279,8,45,12,0,444995.6,347.9,0.124,2.066,0.454,596.893,1162.631
Lion Cargo Truck,656042655,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/656042655/bp.sbc,0,2,0.24,982,11,2,12,1,325842.1,331.8,0.119,3.24,0.457,648.841,1012.73
VC LAV,717833060,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/717833060/bp.sbc,0,2,0.2463,1043,7,8,1,3,338673.9,324.7,0.091,2.674,0.745,599.158,1267.878
Ashika Destroyer,3582083966,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3582083966/bp.sbc,0,3,0.2093,3308,26,101,3,18,5421934.0,1639.0,0.104,3.766,0.426,1116.824,1658.324
Hydrogen Transport Truck,892370198,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/892370198/bp.sbc,0,3,0.2271,1868,6,4,0,3,802658.8,429.7,0.097,2.191,0.414,838.236,1016.005
Tharkin's Space Kebab - Food Truck,3485300749,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/3485300749/bp.sbc,0,3,0.2271,3296,29,117,12,6,1192901.0,361.9,0.107,2.505,0.38,858.659,1049.314
BT-271 Tarragon,1680079131,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1680079131/bp.sbc,0,3,0.2374,3776,4,2,10,11,1279283.0,338.8,0.13,2.109,0.59,668.343,516.347
Hailfire GD-216 Assault Strike Fighter,935794090,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/935794090/bp.sbc,0,3,0.2489,2617,24,144,40,0,818009.9,312.6,0.174,2.18,0.538,905.254,1118.691
S.S.Crossbow - No Mods,528332850,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/528332850/bp.sbc,0,4,0.1008,6433,67,307,249,14,6760000.0,1050.8,0.17,2.852,0.551,1234.917,1260.024
E-106 Roxie,916670018,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/916670018/bp.sbc,0,4,0.1063,11864,53,35,1,4,11297700.0,952.3,0.17,3.059,0.454,1622.382,1169.894
CENTIPEDE,2364421762,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2364421762/bp.sbc,0,4,0.2334,7627,25,11,47,264,2674750.0,350.7,0.16,2.786,0.56,973.108,1198.902
8x8 MARS,2795394214,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/2795394214/bp.sbc,0,4,0.2384,7113,8,42,0,29,2383333.0,335.1,0.145,5.445,0.367,815.548,1219.683
Star Wars - Immobilizer 418 Cruiser,1324676463,/home/gauge/.local/share/thermal-dynamics/corpus/steamapps/workshop/content/244850/1324676463/bp.sbc,0,4,0.245,12558,40,52,0,82,23952750.0,1907.4,0.127,7.261,0.321,1290.641,1086.792
